Time,Cluster Size,Active Nodes,Leader Changes / Min
4,1,1,0
9,1,1,0
14,1,1,0
19,1,1,0
24,1,1,0
29,1,1,0
34,1,1,0
39,1,1,0
44,1,1,0
49,1,1,0
54,1,1,0
59,1,1,0
64,1,1,0
69,1,1,0
74,1,1,0
79,1,1,0
84,1,1,0
89,1,1,0
94,1,1,0
99,1,1,0
104,1,1,0
109,1,1,0
114,1,1,0
119,1,1,0
124,1,1,0
129,1,1,0
134,1,1,0
139,1,1,0
144,1,1,0
149,1,1,0
154,1,1,0
159,1,1,0
164,1,1,0
169,1,1,0
174,1,1,0
179,1,1,0
184,1,1,0
189,1,1,0
194,1,1,0
199,1,1,0
204,1,1,0
209,1,1,0
214,1,1,0
219,1,1,0
224,1,1,0
229,1,1,0
234,1,1,0
239,1,1,0
244,1,1,0
249,1,1,0
254,1,1,0
259,1,1,0
264,1,1,0
269,1,1,0
274,1,1,0
279,1,1,0
284,1,1,0
289,1,1,0
294,1,1,0
299,1,1,0
304,1,1,0
309,1,1,0
314,1,1,0
319,1,1,0
324,1,1,0
329,1,1,0
334,1,1,0
339,1,1,0
344,1,1,0
349,,,0
354,,,0
364,1,0,
369,1,1,0
374,1,1,0
379,1,1,0
384,1,1,0
389,1,1,0
394,1,1,0
399,1,1,0
404,1,1,0
