Time,Enqueue Duration (s)
10,NaN
15,NaN
20,NaN
25,NaN
30,NaN
35,NaN
40,NaN
45,NaN
50,0.0000375
55,0.0000372
60,0.0000367
65,0.0000359
70,0.0000357
75,0.0000353
80,0.0000349
85,0.0000344
90,0.0000337
95,0.0000335
100,0.0000338
105,NaN
110,NaN
115,NaN
120,NaN
125,NaN
130,0.0000282
135,0.0000280
140,0.0000290
145,0.0000292
150,0.0000298
155,0.0000298
160,0.0000294
165,0.0000290
170,0.0000286
175,0.0000297
180,0.0000313
185,NaN
190,NaN
195,NaN
200,NaN
205,NaN
210,0.0000303
215,0.0000292
220,0.0000311
225,0.0000353
230,0.0000385
235,0.0000405
240,0.0000400
245,0.0000376
250,0.0000347
255,0.0000295
260,0.0000262
265,0.0000252
270,NaN
275,NaN
280,NaN
285,NaN
290,0.0000296
295,0.0000282
300,0.0000283
305,0.0000296
310,0.0000334
315,0.0000369
320,0.0000391
325,0.0000396
330,0.0000389
335,0.0000383
340,0.0000375
345,0.0000377
350,0.0000384
355,0.0000399
360,0.0000407
365,0.0000414
370,0.0000407
375,0.0000403
380,0.0000404
385,0.0000422
390,0.0000435
395,0.0000453
400,0.0000450
405,0.0000449
410,0.0000433
415,0.0000464
420,0.0000506
425,0.0000582
430,0.0000652
435,0.000133
440,0.000294
445,0.000356
450,0.000424
455,0.000293
460,0.000377
465,0.000283
470,0.000328
475,0.000211
480,0.000248
485,0.000262
490,0.000394
495,0.000446
500,0.000387
505,0.000358
510,0.000277
515,0.000436
520,0.000324
525,0.000426
530,0.000261
535,0.000360
540,0.000310
545,0.000394
550,0.000302
555,0.000374
560,0.000304
565,0.000342
570,0.000209
575,0.000406
580,0.000418
585,0.000524
590,0.000492
595,0.000409
600,0.000297
605,0.0000767
610,0.0000776
615,0.0000508
620,0.0000474
625,NaN
630,NaN
635,NaN
640,NaN
645,0.0000334
650,0.0000856
655,0.000100
660,0.0000918
665,0.0000893
670,0.0000497
675,0.0000303
680,NaN
685,NaN
690,NaN
695,NaN
700,NaN
705,NaN
710,NaN
715,NaN
720,NaN
725,NaN
730,NaN
735,NaN
740,NaN
745,NaN
750,NaN
755,NaN
760,NaN
765,NaN
770,NaN
775,NaN
780,NaN
785,NaN
790,NaN
795,NaN
800,NaN
805,NaN
810,NaN
815,NaN
820,NaN
825,NaN
830,NaN
835,NaN
840,NaN
845,NaN
850,NaN
855,NaN
860,NaN
865,NaN
870,NaN
875,NaN
880,NaN
885,NaN
890,NaN
895,NaN
900,NaN
905,NaN
910,NaN
915,NaN
920,NaN
925,NaN
930,NaN
935,NaN
940,NaN
945,NaN
950,NaN
955,NaN
960,NaN
965,NaN
970,NaN
975,NaN
980,NaN
985,NaN
990,NaN
995,NaN
1000,NaN
1005,NaN
1010,NaN
1015,NaN
1020,NaN
1025,NaN
1030,NaN
1035,NaN
1040,NaN
1045,NaN
