Time,Enqueue Duration (s)
4,0.0000270
9,0.0000253
14,0.0000249
19,0.0000245
24,0.0000247
29,0.0000247
34,0.0000250
39,0.0000249
44,0.0000252
49,0.0000250
54,0.0000253
59,0.0000257
64,0.0000260
69,0.0000258
74,0.0000256
79,0.0000251
84,0.0000251
89,0.0000256
94,0.0000263
99,0.0000271
104,0.0000270
109,0.0000270
114,0.0000271
119,0.0000272
124,0.0000277
129,0.0000297
134,0.0000333
139,0.0000356
144,0.0000369
149,0.0000366
154,0.0000365
159,0.0000370
164,0.0000376
169,0.0000379
174,0.0000376
179,0.0000373
184,0.0000370
189,0.0000375
194,0.0000376
199,0.0000379
204,0.0000376
209,0.0000378
214,0.0000377
219,0.0000379
224,0.0000383
229,0.0000391
234,0.0000398
239,0.0000394
244,0.0000386
249,0.0000378
254,0.0000379
259,0.0000388
264,0.0000387
269,0.0000384
274,0.0000376
279,0.0000377
284,0.0000378
289,0.0000383
294,0.0000389
299,0.0000388
304,0.0000370
309,0.0000355
314,0.0000318
